country;year;pop;gdp_c;gdp_t;inc_c;gini
afg;1800;3280000;480,75;1576875602;485,74;30,5
afg;1801;3280000;480,75;1576875602;485,74;30,5
afg;1802;3280000;480,75;1576875602;485,74;30,5
afg;1803;3280000;480,75;1576875602;485,74;30,5
afg;1804;3280000;480,75;1576875602;485,74;30,5
afg;1805;3280000;480,75;1576875602;485,74;30,5
afg;1806;3280000;480,75;1576875602;485,74;30,5
afg;1807;3280000;480,75;1576875602;485,74;30,5
afg;1808;3280000;480,75;1576875602;485,74;30,5
afg;1809;3280000;480,75;1576875602;485,74;30,5
afg;1810;3280000;480,75;1576875602;485,74;30,5
afg;1811;3280000;480,75;1576875602;485,74;30,5
afg;1812;3280000;480,75;1576875602;485,74;30,5
afg;1813;3280000;480,75;1576875602;485,74;30,5
afg;1814;3280000;480,75;1576875602;485,74;30,5
afg;1815;3280000;480,75;1576875602;485,74;30,5
afg;1816;3280000;480,75;1576875602;485,74;30,5
afg;1817;3280000;480,75;1576875602;485,74;30,5
afg;1818;3280000;480,75;1576875602;485,74;30,5
afg;1819;3282935;480,75;1578286617;485,74;30,5
afg;1820;3288817;480,75;1581114416;485,74;30,5
afg;1821;3297661;480,75;1585366211;485,74;30,5
afg;1822;3309479;481,84;1594652778;486,84;30,5
afg;1823;3324285;482,94;1605416301;487,94;30,5
afg;1824;3339157;484,03;1616252360;489,04;30,5
afg;1825;3354095;485,13;1627161300;490,15;30,5
afg;1826;3369101;486,23;1638144440;491,26;30,5
afg;1827;3384173;487,33;1649201162;492,38;30,5
afg;1828;3399313;488,43;1660332792;493,49;30,5
afg;1829;3414520;489,54;1671539199;494,61;30,5
afg;1830;3429796;490,65;1682821719;495,73;30,5
afg;1831;3445140;491,76;1694180226;496,85;30,5
afg;1832;3460553;492,87;1705615573;497,98;30,5
afg;1833;3476034;493,99;1717127636;499,11;30,5
afg;1834;3491585;495,11;1728717767;500,24;30,5
afg;1835;3507205;496,23;1740385845;501,37;30,5
